index,feature_extraction,segmentation,clustering,classification,neural_networks,reinforcement_learning,generative_adversarial_networks,anomaly_detection,dimensionality_reduction,data_visualization,energy_simulation,optimization,multi-objective_optimization,measurement,validation,data_collection,statistical_analysis,factor_analysis,regression,correlation
passive_design_strategies,0.06489005684852599,,,,0.053109370172023766,,,,0.12587401270866394,,0.19813990592956546,0.19454343616962436,0.16230618953704834,,0.054902467876672745,,0.05364102125167847,0.09959752857685088,0.07902702689170837,
natural_ventilation,,0.07614369690418242,0.09418082982301712,0.17709189653396604,0.12022598087787628,0.13812345266342166,,,0.09196022897958757,0.1068594828248024,0.3253355622291565,0.3569214344024658,0.15191109478473666,0.1785956621170044,0.24957704544067386,0.1666725128889084,0.22464293241500852,,0.1575871855020523,0.17233170568943024
internal_heat_gains,0.12724924087524414,0.07900172472000122,0.11445958912372588,0.15830343961715698,0.1588463932275772,0.10256427526474,,,,,0.2511414885520935,0.20748096704483032,0.06331133842468263,0.2100692987442017,0.1948031187057495,0.17066794633865354,0.15990115702152252,,0.2474462985992432,0.22490692138671875
lights,0.07758599519729614,0.07225225865840912,0.16690252721309662,0.23448684811592105,0.09746560454368593,0.09017729759216307,,,,0.14780420064926147,0.3001603484153748,0.3485350608825684,0.12772774696350098,0.2692635953426361,0.21067142486572266,0.2345917373895645,0.17768660187721252,,0.21415726840496066,0.26903414726257324
equipment,0.14432890713214874,0.12865875661373138,0.2722397148609161,0.34159430861473083,0.13088685274124146,0.09651020914316176,,0.11052905768156053,,0.13662953674793246,0.214750736951828,0.3652251958847046,0.09113048017024994,0.4168509244918823,0.28604888916015625,0.3708313703536987,0.18916432559490204,,0.18700934946537015,0.22042381763458246
daylighting,0.0785641148686409,0.08188185095787047,0.13816557824611664,0.1851838380098343,0.1501207798719406,0.10189078748226166,,0.056555148214101784,0.07267950475215912,0.27798992395401,0.4369373321533203,0.4161747992038727,0.22817999124526975,0.3030218482017517,0.24435232579708102,0.16042974591255188,0.17400021851062775,,0.20428615808486936,0.2166701853275299
mass_flow_rate,,,0.07702047377824782,0.10400701314210893,,,,,,,0.11350520700216292,0.2622172236442566,0.05089379847049713,0.3044447898864746,0.241448312997818,0.06774349510669707,0.05403856933116913,,0.09306851029396056,0.2488808780908585
inlet_temperature,,,,,,,,,,,,0.1835688054561615,,0.18616072833538053,0.1595526784658432,,0.054448552429676056,,0.09651026129722597,0.1929784119129181
outlet_temperature,,,,0.06230555847287177,,,,,,,,0.1889040321111679,,0.2301168590784073,0.2363360822200775,,,,0.09123174846172333,0.20701727271080014
cooling_load,0.08961127698421477,0.05706796422600746,0.15903203189373016,0.15544366836547852,0.13279390335083008,0.1895298957824707,,,,,0.3597201704978943,0.3232635855674744,0.1395522952079773,0.25162410736083984,0.2890329957008362,0.14352943003177646,0.20030224323272705,0.06645259261131288,0.2771110236644745,0.2832077443599701
heating_load,0.11946266889572145,0.10626214742660522,0.1709730327129364,0.11512774229049685,0.08508230000734329,0.0951821357011795,,,0.06230662390589714,0.07092936336994171,0.2784577012062073,0.2115204930305481,0.16535456478595734,0.17102769017219546,0.2082785665988922,0.0905318334698677,0.20184600353240967,0.12957072257995605,0.26515936851501465,0.28569865226745605
chilled_water,,,0.1041470617055893,0.05710205063223839,0.08116927742958069,,0.05706945806741715,,0.07518523186445236,,0.11091700941324234,0.276789128780365,0.13593153655529022,0.1570412516593933,0.17540061473846436,0.08350098133087157,0.05221296101808548,,0.08902731537818909,0.13702130317687988
chiller,0.1414223611354828,,0.16424822807312012,0.19550058245658875,0.15525639057159424,,,0.08334442228078842,,,0.19090871512889865,0.3587098717689514,0.15054410696029666,0.18468308448791504,0.2688138782978058,0.14776767790317535,0.1430283933877945,,0.20325511693954468,0.2033003270626068
cop,0.05583962798118591,,0.15638911724090576,0.11501380056142807,0.1314793974161148,0.079659603536129,,0.07104174047708511,,,0.213972806930542,0.3384488523006439,0.2241116166114807,0.2344140708446503,0.25688278675079346,0.1541270613670349,0.16412779688835144,0.05156981945037842,0.22076557576656344,0.2791349291801453
hot_water,,,0.11239250004291534,0.1284380704164505,,,,,,,0.07144850492477417,0.2305087000131607,,0.1968695968389511,0.17171671986579895,0.1167745441198349,0.09753714501857758,,0.09118012338876724,0.1515388786792755
compressor_power,,,0.08347126096487045,,,,,,0.0879712849855423,0.050924792885780334,0.07567142695188522,0.10662980377674104,,0.05863800272345542,0.11706126481294632,,,,0.13567408919334412,0.197868213057518
condenser_fan_power,,,,,,,,,,0.06716173887252808,,0.05006621405482292,0.09769463539123537,,,,,,,
condensing_temperature,0.06478776782751082,,0.16306936740875244,,,,,0.05224577710032463,0.07837750017642975,0.06232824921607971,0.06574883311986922,0.1681961566209793,,,0.1017027199268341,,,,0.12735122442245486,0.14822812378406525
fan_power,,,,,,,0.06445114314556122,0.07172401249408722,0.06938763707876205,,0.10131463408470154,0.18013909459114075,,0.15554404258728027,0.13631200790405273,0.05359741300344467,,,0.14368391036987305,0.1608281433582306
fan_speed,,,0.05356144905090332,0.05893859267234802,,0.11807124316692352,,,,,,0.23359060287475586,0.06161316111683845,0.2011699676513672,0.17518658936023712,0.10644160956144333,0.05019325762987137,,0.163261741399765,0.19833217561244965
set_point,0.06928863376379013,,0.193668469786644,0.16340655088424685,0.08777762949466705,0.1373404860496521,,,,,0.2154170274734497,0.4036799669265747,0.2056596726179123,0.2635470032691956,0.2362295538187027,0.16203007102012634,0.10970109701156616,,0.18405115604400635,0.19707940518856049
water_temperature,,,0.06148917600512505,0.0583910346031189,0.10460317134857178,0.06403198838233948,,,,,,0.2557934522628784,0.053335625678300864,0.2618618309497833,0.1956680119037628,0.10606059432029724,0.10136691480875017,,0.10872768610715866,0.2414053976535797
variable_air_volume,0.09540505707263948,,0.11430323123931885,0.13071262836456302,0.1928187608718872,0.19360235333442688,,0.06398025155067444,0.08166023343801497,,0.2540840208530426,0.2186395525932312,0.16928252577781674,0.20075705647468567,0.2232237160205841,0.10384032875299454,0.14687511324882507,,0.15109390020370486,0.08564886450767517
constant_air_volume,0.10632316023111343,,,,0.07536041736602782,0.07514437288045883,0.060350146144628525,,,,0.10946387052536012,0.10480226576328278,,0.053707122802734375,0.06502203643321991,,,,0.10005190968513487,0.0517328605055809
static_pressure,,,,0.09656320512294768,,0.07123762369155884,,0.06082812324166297,,,0.09555575251579283,0.2114330381155014,0.07281585782766342,0.2556974291801453,0.14710909128189087,0.0683709979057312,,,0.0922187715768814,0.1437794715166092
differential_pressure,,,,,,,,,,,,0.1112723872065544,,0.29618263244628906,0.11642080545425415,0.09278783202171326,,,,0.18444377183914185
thermal_comfort,0.0964040830731392,0.1371690034866333,0.1859087347984314,0.2647547125816345,0.19128042459487915,0.20971570909023285,,,0.08409671485424043,0.15773752331733704,0.3496604859828949,0.4813262224197388,0.3687068819999695,0.29950475692749023,0.3384245038032532,0.2939401268959045,0.29204022884368896,,0.3079255223274231,0.3043982982635498
