index,life_cycle_assessment,passive_design,ubem,parametric_design,hvac_optimization,district_energy_system,measurement_and_verification,retro-commissioning,energy_audit,model_predictive_control,demand_response,energy_benchmarking,fault_detection_and_diagnosis,om,demand_controlled_ventilation,renewable_energy,retrofit_analysis
passive_design_strategies,0.13725824654102325,0.5488894581794739,0.16085578501224518,0.14830255508422852,0.10807231813669205,0.11228229850530624,0.07001697272062302,0.07547096908092499,,0.09102238714694977,0.17044363915920258,0.05091021955013275,,0.06073576956987381,0.21761706471443176,0.23669210076332092,0.16484031081199646
natural_ventilation,0.17003710567951202,0.5385953187942505,0.10780223459005356,,,0.053270600736141205,0.06740456819534302,0.051868364214897156,0.058754269033670425,0.19338282942771912,0.1700642704963684,,0.11878995597362518,,0.2771415114402771,0.24719500541687012,0.1935608685016632
internal_heat_gains,0.08785227686166763,0.264576256275177,0.11026836186647415,,,0.05490714684128761,,0.0646653026342392,0.18146809935569763,0.20291851460933685,0.1327987164258957,,0.0671725794672966,0.12850892543792725,0.1525520533323288,0.14719867706298828,0.19110706448554993
lights,0.1503680944442749,0.30163121223449707,,0.10558658838272095,,0.0505034364759922,,,0.22619587182998657,0.10213740170001984,0.21283602714538574,,0.12272323668003082,0.11607332527637482,0.15783007442951202,0.2551431357860565,0.2653796076774597
equipment,0.144018292427063,0.08577977120876312,,,,,0.0784718319773674,,0.2558785378932953,0.13797780871391296,0.397144079208374,,0.24231934547424316,0.12169133871793747,0.08898288756608963,0.2691689133644104,0.2137608528137207
daylighting,0.22262215614318848,0.43123289942741394,0.07880303263664246,0.18000571429729462,,,,,0.1721845120191574,0.11482702195644379,0.1996597945690155,,0.12394517660140991,0.08268946409225464,0.19819112122058868,0.2352084517478943,0.2052101343870163
mass_flow_rate,,,,,,,,,,0.11532850563526154,,,0.09051380306482315,0.06026896461844444,,0.05120513215661049,
inlet_temperature,,,,,,,,,,,,,,,,,
outlet_temperature,,,,,,,,,0.06570231169462204,0.08068094402551651,,,,,,,
cooling_load,0.1036190390586853,0.3174218535423279,0.1379191279411316,,,0.15860122442245483,,0.06047616899013519,0.13226793706417084,0.1415923684835434,0.1866285502910614,0.09602884948253632,0.1963307410478592,0.05850641429424286,0.15884603559970856,0.21876825392246246,0.18533891439437866
heating_load,0.10024130344390869,0.26284879446029663,0.1379191279411316,0.10630717128515244,,0.12194289267063141,,0.08309275656938553,0.18966028094291687,0.10829126089811325,0.15059059858322144,0.13393816351890564,0.058571722358465195,,0.1914336234331131,0.2318311631679535,0.2540314197540283
chilled_water,,0.07002218067646027,,,,0.1578279435634613,,0.08419018983840942,0.1040751114487648,0.1671450138092041,0.12837228178977966,,0.15825501084327698,,0.09964844584465027,0.09501591324806213,0.11671127378940582
chiller,,0.08675381541252136,,,,0.0944574624300003,0.06074437499046326,0.19282656908035278,0.15963056683540344,0.19190402328968048,0.19650062918663025,,0.30849489569664,0.06615012139081955,0.1484481692314148,0.12135271728038788,0.20328965783119202
cop,0.18470272421836853,0.10321620106697083,,,,0.05180027335882187,0.057696934789419174,,0.06889606267213821,0.2392970323562622,0.2022627890110016,,0.1596161425113678,0.10143519937992096,0.1451214849948883,0.19526053965091705,0.13679325580596924
hot_water,0.06990872323513031,,,,,0.09531024843454361,,0.065139040350914,0.1312522292137146,0.08502858132123947,0.18405936658382416,,0.1064009964466095,,,0.2625046968460083,0.19597703218460083
compressor_power,,,,,,,,,,0.10318196564912796,,,0.0721307247877121,0.061374738812446594,0.08122528344392776,,
condenser_fan_power,,,,,,,,,,,,,,0.06083686277270317,,,
condensing_temperature,,0.07171908766031265,,,,,,,0.05367407575249672,0.10364045202732086,0.05654927343130112,,,,0.08822838217020035,,
fan_power,,0.05819796770811081,,,,0.07150387763977051,0.10900821536779404,,0.09357675909996033,0.1267300397157669,0.05444826930761337,,0.09633050113916397,,0.19186937808990479,,0.08647257834672928
fan_speed,,,,,,,,,,0.2019786834716797,,,0.0922400951385498,,0.17793145775794983,,0.06029444932937622
set_point,,0.1503453254699707,,,,0.06741117686033249,,0.11724410206079483,0.1266876459121704,0.33267587423324585,0.21837373077869415,,0.22011703252792358,0.09890394657850266,0.2307925969362259,0.11611928045749664,0.15088513493537903
water_temperature,,,,,,,,,,0.14081621170043945,0.06855913996696472,,0.09974946081638336,,,0.06831385940313339,0.0725274384021759
heating_load,0.10024130344390869,0.26284879446029663,0.1379191279411316,0.10630717128515244,,0.12194289267063141,,0.08309275656938553,0.18966028094291687,0.10829126089811325,0.15059059858322144,0.13393816351890564,0.058571722358465195,,0.1914336234331131,0.2318311631679535,0.2540314197540283
cooling_load,0.1036190390586853,0.3174218535423279,0.1379191279411316,,,0.15860122442245483,,0.06047616899013519,0.13226793706417084,0.1415923684835434,0.1866285502910614,0.09602884948253632,0.1963307410478592,0.05850641429424286,0.15884603559970856,0.21876825392246246,0.18533891439437866
variable_air_volume,0.057734373956918716,0.09041538089513779,0.0963725745677948,0.056239545345306396,0.13429035246372223,0.14681744575500488,0.18178865313529968,0.17152568697929382,,0.34557515382766724,0.14580509066581726,0.08595811575651169,0.3844483494758606,,0.4109165072441101,0.09577669948339462,0.15334908664226532
constant_air_volume,,,,0.06433894485235214,,0.161345973610878,0.07561111450195312,0.07809992134571075,0.06003924459218979,0.1978885531425476,,0.05635050684213638,0.25125905871391296,0.07884998619556427,0.3878403306007385,,0.08256953954696655
static_pressure,,,,,,,,,0.051330264657735825,0.1760006844997406,,,0.08755696564912796,,0.23375017940998077,,0.05272093415260315
differential_pressure,,,,,,,0.10351717472076416,,0.08217129111289978,,,0.07063715159893036,0.09143077582120895,,0.10778644680976868,,0.05563453584909439
thermal_comfort,0.24542388319969177,0.38718995451927185,,,,,,,0.12512224912643433,0.3740987479686737,0.2680048942565918,,0.20060458779335022,,0.17764796316623688,0.25221359729766846,0.19990311563014984
damper,,,,0.07486674189567566,,,,0.07043056935071945,,0.12314383685588837,,,0.22267404198646545,,0.1965791881084442,,0.1560635268688202
air-to-air,0.07971091568470001,0.1759684532880783,0.0669199526309967,,,0.10592354089021683,0.14357563853263855,0.0841955915093422,0.0938461422920227,0.05504654720425606,0.13691818714141846,,0.1387465000152588,0.06672663241624832,0.20502397418022156,0.058002278208732605,0.1648135483264923
air-to-water,0.08255969732999802,0.0576208271086216,,,,0.13346554338932037,,0.09485822170972824,,0.16261453926563263,0.16013289988040924,,0.06911209970712662,,0.15464571118354797,0.13556888699531555,0.1301726996898651
heat_recovery,0.10709653794765472,0.23239147663116455,,0.10069983452558517,,0.10671728849411011,0.09097389876842499,0.090894915163517,0.15059834718704224,0.09697932004928589,0.15326382219791412,,0.19002805650234222,,0.2641114592552185,0.23949120938777924,0.2879332900047302
load_profile,,0.05659402161836624,,,,0.07393115758895874,,,0.21473351120948792,0.18460331857204437,0.4076717495918274,0.1233782023191452,0.07314808666706085,,0.09766988456249237,0.1909346878528595,0.17911502718925476
time-of-use,0.08151479065418243,0.10798758268356323,,,0.06813358515501022,,,,0.07709142565727234,0.24291189014911652,0.44918328523635864,0.09061260521411896,,0.052742332220077515,0.09866007417440414,0.18053583800792694,0.09578457474708557
household_appliances,0.07896050810813904,0.1009308323264122,,,,0.06634298712015152,,,0.20182722806930542,0.11555886268615723,0.40204888582229614,,0.05333087593317032,,,0.16627314686775208,0.07512295246124268
energy_storage,0.18225526809692383,0.20767727494239807,,,,,0.05798749253153801,,,0.2608114182949066,0.46668756008148193,,0.14976519346237183,0.07437948882579803,0.08867836743593216,0.518371045589447,0.16664612293243408
smart_meters,0.13555939495563507,,,,0.07280778884887695,,,0.051002778112888336,0.20534677803516388,0.180275559425354,0.46933943033218384,0.1282457709312439,0.15071703493595123,,0.07663796842098236,0.30642926692962646,0.15906894207000732
